Digit_temp	id	light	timestamp	acc_z	acc_y	acc_x	motion	pressure	humid
84.74	23341ca4e4830bee	62960	888577	8320	32240	29808	0	101083	35136
84.74	23341ca4e4830bee	62960	888776	8320	32240	29808	0	101101	35136
84.74	23341ca4e4830bee	62960	888967	8320	32240	29808	0	101083	35136
84.74	23341ca4e4830bee	62960	889158	8320	32240	29808	0	101101	35136
84.74	23341ca4e4830bee	62960	889350	8320	32288	29824	0	101083	35152
84.74	23341ca4e4830bee	62960	889531	8320	32288	29824	0	101093	35152
84.74	23341ca4e4830bee	62960	889722	8320	32288	29824	0	101093	35152
84.74	23341ca4e4830bee	62960	889913	8320	32288	29824	0	101089	35152
84.74	23341ca4e4830bee	62960	890104	8320	32288	29824	0	101089	35136
84.74	23341ca4e4830bee	62960	890295	8320	32288	29824	0	101089	35136
84.74	23341ca4e4830bee	62960	890486	8320	32288	29824	0	101095	35136
84.74	23341ca4e4830bee	62960	890677	8320	32288	29824	0	101083	35152
84.74	23341ca4e4830bee	62960	890868	8320	32288	29792	0	101099	35152
84.74	23341ca4e4830bee	62960	891059	8320	32288	29792	0	101093	35152
84.74	23341ca4e4830bee	62960	891250	8320	32288	29792	0	101091	35152
84.74	23341ca4e4830bee	62960	891431	8320	32224	29776	0	101087	35104
84.74	23341ca4e4830bee	62960	891622	8320	32224	29776	0	101095	35104
84.74	23341ca4e4830bee	62960	891813	8320	32224	29776	0	101089	35104
84.74	23341ca4e4830bee	62960	892004	8320	32224	29776	0	101091	35104
84.74	23341ca4e4830bee	62960	892195	8320	32256	29792	0	101089	35168
84.74	23341ca4e4830bee	62960	892428	8320	32256	29792	0	101089	35168
84.74	23341ca4e4830bee	62960	892619	8320	32256	29792	0	101093	35168
84.74	23341ca4e4830bee	62960	892810	8320	32256	29792	0	101087	35168
84.74	23341ca4e4830bee	62960	892991	8320	32272	29808	0	101083	35136
84.74	23341ca4e4830bee	62960	893182	8320	32272	29808	0	101085	35136
84.74	23341ca4e4830bee	62960	893373	8320	32272	29808	0	101095	35136
84.74	23341ca4e4830bee	62960	893564	8320	32272	29808	0	101087	35168
84.74	23341ca4e4830bee	62960	893755	8320	32256	29808	0	101085	35168
84.74	23341ca4e4830bee	62960	893947	8320	32256	29808	0	101089	35168
84.74	23341ca4e4830bee	62960	894138	8320	32256	29808	0	101089	35168
84.74	23341ca4e4830bee	62960	894329	8320	32256	29792	0	101095	35184
84.92	23341ca4e4830bee	62960	894520	8320	32256	29792	0	101095	35184
84.92	23341ca4e4830bee	62960	894711	8320	32256	29792	0	101095	35184
84.92	23341ca4e4830bee	62960	894902	8320	32256	29792	0	101093	35184
84.74	23341ca4e4830bee	62960	895093	8320	32304	29824	0	101083	35152
84.74	23341ca4e4830bee	62960	895285	8320	32304	29824	0	101095	35152
84.92	23341ca4e4830bee	62960	895476	8320	32304	29824	0	101107	35152
84.92	23341ca4e4830bee	62960	895668	8320	32304	29824	0	101101	35152
84.74	23341ca4e4830bee	62960	895859	8320	32240	29792	0	101089	35136
84.92	23341ca4e4830bee	62960	896050	8320	32240	29792	0	101089	35136
84.74	23341ca4e4830bee	62960	896279	8320	32240	29792	0	101101	35136
84.74	23341ca4e4830bee	62960	896470	8320	32240	29792	0	101095	35120
84.74	23341ca4e4830bee	62960	896652	8320	32208	29792	0	101085	35120
84.92	23341ca4e4830bee	62960	896843	8320	32208	29792	0	101109	35120
84.74	23341ca4e4830bee	62960	897034	8320	32208	29792	0	101085	35120
84.74	23341ca4e4830bee	62960	897225	8320	32256	29808	0	101089	35152
84.74	23341ca4e4830bee	62960	897420	8320	32256	29808	0	101089	35152
84.92	23341ca4e4830bee	62960	897611	8320	32256	29808	0	101087	35152
84.92	23341ca4e4830bee	62960	897793	8320	32256	29808	0	101095	35152
84.92	23341ca4e4830bee	62960	897984	8320	32288	29776	0	101095	35168
84.92	23341ca4e4830bee	62960	898175	8320	32288	29776	0	101099	35168
84.92	23341ca4e4830bee	62960	898366	8320	32288	29776	0	101095	35168
84.92	23341ca4e4830bee	62960	898557	8320	32288	29776	0	101095	35168
84.92	23341ca4e4830bee	62960	898748	8192	32256	29808	0	101093	35136
84.92	23341ca4e4830bee	62960	898939	8192	32256	29808	0	101095	35136
84.74	23341ca4e4830bee	62960	899131	8192	32256	29808	0	101081	35136
84.74	23341ca4e4830bee	62960	899312	8192	32256	29808	0	101087	35136
84.74	23341ca4e4830bee	62960	899503	8192	32224	29792	0	101089	35184
84.74	23341ca4e4830bee	62960	899694	8192	32224	29792	0	101095	35184
84.74	23341ca4e4830bee	62960	899885	8192	32224	29792	0	101083	35184
84.74	23341ca4e4830bee	62960	900129	8320	32272	29808	0	101089	35200
84.92	23341ca4e4830bee	62960	900320	8320	32272	29808	0	101103	35200
84.92	23341ca4e4830bee	62960	900511	8320	32272	29808	0	101107	35200
84.74	23341ca4e4830bee	62960	900692	8320	32272	29808	0	101091	35200
84.92	23341ca4e4830bee	62960	900883	8320	32288	29840	0	101093	35120
84.92	23341ca4e4830bee	62960	901074	8320	32288	29840	0	101093	35120
84.92	23341ca4e4830bee	62960	901265	8320	32288	29840	0	101089	35120
84.92	23341ca4e4830bee	62960	901456	8320	32288	29840	0	101103	35120
84.74	23341ca4e4830bee	62960	901647	8320	32288	29776	0	101087	35216
84.74	23341ca4e4830bee	62960	901838	8320	32288	29776	0	101093	35216
84.74	23341ca4e4830bee	62960	902029	8320	32288	29776	0	101093	35216
84.74	23341ca4e4830bee	62960	902220	8320	32288	29776	0	101093	35120
84.74	23341ca4e4830bee	62960	902411	8320	32272	29824	0	101087	35120
84.74	23341ca4e4830bee	62960	902592	8320	32272	29824	0	101077	35120
84.74	23341ca4e4830bee	62960	902784	8320	32272	29824	0	101095	35120
84.74	23341ca4e4830bee	62960	902975	8192	32240	29824	0	101095	35104
84.74	23341ca4e4830bee	62960	903166	8192	32240	29808	0	101089	35104
84.74	23341ca4e4830bee	62960	903357	8192	32240	29808	0	101093	35104
84.74	23341ca4e4830bee	62960	903548	8192	32240	29808	0	101085	35104
84.74	23341ca4e4830bee	62960	903739	8320	32256	29792	0	101083	35184
84.74	23341ca4e4830bee	62960	903976	8320	32256	29792	0	101095	35184
84.92	23341ca4e4830bee	62960	904167	8320	32256	29792	0	101091	35184
84.74	23341ca4e4830bee	62960	904358	8320	32256	29792	0	101083	35184
84.74	23341ca4e4830bee	62960	904549	8320	32272	29776	0	101089	35200
84.92	23341ca4e4830bee	62960	904740	8320	32272	29776	0	101083	35200
84.92	23341ca4e4830bee	62960	904931	8320	32272	29776	0	101099	35200
84.92	23341ca4e4830bee	62960	905113	8320	32272	29776	0	101087	35184
84.92	23341ca4e4830bee	62960	905304	8320	32240	29824	0	101089	35184
84.92	23341ca4e4830bee	62960	905495	8320	32240	29824	0	101089	35184
84.92	23341ca4e4830bee	62960	905686	8320	32240	29824	0	101089	35184
84.92	23341ca4e4830bee	62960	905877	8320	32256	29824	0	101087	35152
84.92	23341ca4e4830bee	62960	906068	8320	32256	29824	0	101091	35152
84.92	23341ca4e4830bee	62960	906259	8320	32256	29824	0	101083	35152
84.92	23341ca4e4830bee	62960	906450	8320	32256	29824	0	101091	35152
84.92	23341ca4e4830bee	62960	906642	8320	32272	29792	0	101091	35184
84.92	23341ca4e4830bee	62960	906823	8320	32272	29792	0	101091	35184
84.92	23341ca4e4830bee	62960	907014	8320	32272	29792	0	101091	35184
84.92	23341ca4e4830bee	62960	907205	8320	32272	29792	0	101105	35184
84.92	23341ca4e4830bee	62960	907396	8320	32272	29776	0	101087	35136
84.92	23341ca4e4830bee	62960	907588	8320	32272	29776	0	101089	35136
84.74	23341ca4e4830bee	62960	907840	8320	32272	29776	0	101087	35136
84.92	23341ca4e4830bee	62944	908032	8320	32240	29776	0	101089	35136
84.92	23341ca4e4830bee	62944	908223	8320	32240	29824	0	101085	35136
84.92	23341ca4e4830bee	62944	908414	8320	32240	29824	0	101077	35136
84.92	23341ca4e4830bee	62944	908605	8320	32240	29824	0	101087	35136
84.92	23341ca4e4830bee	62960	908796	8320	32304	29808	0	101087	35120
84.92	23341ca4e4830bee	62960	908987	8320	32304	29808	0	101101	35120
84.74	23341ca4e4830bee	62960	909178	8320	32304	29808	0	101089	35120
84.74	23341ca4e4830bee	62960	909370	8320	32304	29808	0	101093	35120
84.92	23341ca4e4830bee	62960	909561	8320	32272	29824	0	101095	35200
84.74	23341ca4e4830bee	62960	909752	8320	32272	29824	0	101087	35200
84.92	23341ca4e4830bee	62960	909933	8320	32272	29824	0	101093	35200
84.92	23341ca4e4830bee	62960	910124	8320	32272	29824	0	101089	35200
84.92	23341ca4e4830bee	62960	910315	8320	32240	29824	0	101095	35200
84.74	23341ca4e4830bee	62960	910506	8320	32240	29824	0	101085	35200
84.92	23341ca4e4830bee	62960	910698	8320	32240	29824	0	101095	35200
84.74	23341ca4e4830bee	62960	910889	8320	32240	29824	0	101095	35184
84.92	23341ca4e4830bee	62960	911080	8320	32288	29776	0	101095	35184
84.92	23341ca4e4830bee	62960	911271	8320	32288	29776	0	101095	35184
84.74	23341ca4e4830bee	62960	911462	8320	32288	29776	0	101083	35184
84.92	23341ca4e4830bee	62960	911699	8320	32256	29856	0	101095	35120
84.92	23341ca4e4830bee	62960	911890	8320	32256	29856	0	101091	35120
84.92	23341ca4e4830bee	62960	912081	8320	32256	29856	0	101091	35120
84.92	23341ca4e4830bee	62960	912272	8320	32256	29856	0	101093	35120
84.92	23341ca4e4830bee	62960	912472	8320	32272	29792	0	101091	35184
84.92	23341ca4e4830bee	62960	912663	8320	32272	29792	0	101093	35184
84.92	23341ca4e4830bee	62960	912844	8320	32272	29792	0	101087	35184
84.92	23341ca4e4830bee	62960	913035	8320	32272	29792	0	101093	35184
84.92	23341ca4e4830bee	62960	913226	8320	32240	29808	0	101103	35136
84.92	23341ca4e4830bee	62960	913418	8320	32240	29808	0	101099	35136
84.92	23341ca4e4830bee	62960	913609	8320	32240	29808	0	101091	35136
84.92	23341ca4e4830bee	62960	913800	8320	32240	29808	0	101087	35104
84.92	23341ca4e4830bee	62960	913991	8320	32272	29808	0	101081	35104
84.92	23341ca4e4830bee	62960	914191	8320	32272	29808	0	101087	35104
84.92	23341ca4e4830bee	62960	914382	8320	32272	29808	0	101091	35104
84.92	23341ca4e4830bee	62960	914563	8320	32240	29808	0	101089	35200
84.74	23341ca4e4830bee	62960	914755	8320	32240	29808	0	101087	35200
84.92	23341ca4e4830bee	62960	914946	8320	32240	29808	0	101093	35200
84.74	23341ca4e4830bee	62960	915137	8320	32240	29808	0	101095	35200
84.74	23341ca4e4830bee	62960	915328	8192	32304	29840	0	101085	35184
84.74	23341ca4e4830bee	62960	915564	8192	32304	29840	0	101085	35184
84.74	23341ca4e4830bee	62960	915755	8192	32304	29840	0	101095	35184
