Digit_temp	id	light	timestamp	acc_z	acc_y	acc_x	motion	pressure	humid
86.0	23341ca4e4830bee	61920	1765356	8448	32416	25568	0	101015	35136
86.0	23341ca4e4830bee	61920	1765557	8448	32416	25568	0	101011	35136
86.0	23341ca4e4830bee	61920	1765748	8448	32416	25568	0	101007	35136
86.0	23341ca4e4830bee	61920	1765939	8448	32416	25568	0	101001	35136
86.0	23341ca4e4830bee	61904	1766130	8448	32384	25552	0	101007	35056
86.0	23341ca4e4830bee	61904	1766321	8448	32384	25552	0	101005	35056
86.0	23341ca4e4830bee	61904	1766512	8448	32384	25552	0	101013	35056
86.0	23341ca4e4830bee	61904	1766703	8448	32384	25552	0	101013	35056
86.0	23341ca4e4830bee	61904	1766884	8448	32448	25584	0	101007	35264
86.0	23341ca4e4830bee	61904	1767075	8448	32448	25584	0	101015	35264
86.0	23341ca4e4830bee	61904	1767266	8448	32448	25584	0	101021	35264
86.0	23341ca4e4830bee	61904	1767457	8576	32448	25584	0	101007	35184
86.0	23341ca4e4830bee	61904	1767648	8576	32448	25536	0	101017	35184
86.0	23341ca4e4830bee	61904	1767839	8576	32448	25536	0	101005	35184
86.0	23341ca4e4830bee	61904	1768030	8576	32448	25536	0	101011	35184
86.0	23341ca4e4830bee	61920	1768221	8448	32400	25552	0	101017	35120
86.0	23341ca4e4830bee	61920	1768412	8448	32400	25552	0	101005	35120
86.0	23341ca4e4830bee	61920	1768593	8448	32400	25552	0	101019	35120
86.0	23341ca4e4830bee	61920	1768784	8448	32400	25552	0	101027	35120
86.0	23341ca4e4830bee	61904	1768975	8448	32416	25552	0	101017	35296
86.0	23341ca4e4830bee	61904	1769221	8448	32416	25552	0	101013	35296
86.0	23341ca4e4830bee	61904	1769412	8448	32416	25552	0	101007	35296
86.0	23341ca4e4830bee	61904	1769604	8448	32416	25552	0	101013	35344
86.0	23341ca4e4830bee	61920	1769795	8448	32416	25536	0	101013	35344
86.0	23341ca4e4830bee	61920	1769986	8448	32416	25536	0	101017	35344
86.0	23341ca4e4830bee	61920	1770177	8448	32416	25536	0	101005	35344
86.0	23341ca4e4830bee	61920	1770368	8576	32400	25536	0	101011	35328
86.0	23341ca4e4830bee	61920	1770559	8576	32400	25536	0	101009	35328
86.0	23341ca4e4830bee	61920	1770750	8576	32400	25536	0	101017	35328
86.0	23341ca4e4830bee	61920	1770941	8576	32400	25536	0	101007	35328
86.0	23341ca4e4830bee	61920	1771132	8448	32416	25520	0	101007	35328
86.0	23341ca4e4830bee	61920	1771323	8448	32416	25520	0	101013	35328
86.0	23341ca4e4830bee	61920	1771504	8448	32416	25520	0	101017	35328
86.0	23341ca4e4830bee	61920	1771696	8448	32416	25520	0	101001	35328
86.0	23341ca4e4830bee	61920	1771898	8448	32432	25552	0	101013	34976
86.0	23341ca4e4830bee	61920	1772089	8448	32432	25552	0	101007	34976
