Digit_temp	id	light	timestamp	acc_z	acc_y	acc_x	motion	pressure	humid
84.2	23341ca4e4830bee	56976	2357698	8320	32224	31424	0	101119	34992
84.2	23341ca4e4830bee	56976	2357900	8320	32224	31424	0	101113	34992
84.2	23341ca4e4830bee	56976	2358091	8320	32224	31424	0	101109	34992
84.2	23341ca4e4830bee	56976	2358282	8320	32224	31424	0	101107	34992
84.2	23341ca4e4830bee	56992	2358473	8320	32224	31392	0	101119	35168
84.2	23341ca4e4830bee	56992	2358664	8320	32224	31392	0	101111	35168
84.2	23341ca4e4830bee	56992	2358845	8320	32224	31392	0	101111	35168
84.2	23341ca4e4830bee	56992	2359036	8320	32224	31392	0	101107	35168
84.2	23341ca4e4830bee	56976	2359227	8320	32224	31408	0	101111	34960
84.2	23341ca4e4830bee	56976	2359418	8320	32224	31408	0	101115	34960
84.2	23341ca4e4830bee	56976	2359609	8320	32224	31408	0	101111	34960
84.2	23341ca4e4830bee	56992	2359800	8320	32224	31408	0	101105	35120
84.2	23341ca4e4830bee	56992	2359991	8320	32224	31376	0	101111	35120
84.2	23341ca4e4830bee	56992	2360182	8320	32224	31376	0	101109	35120
84.2	23341ca4e4830bee	56992	2360373	8320	32224	31376	0	101107	35120
84.2	23341ca4e4830bee	56992	2360564	8320	32224	31408	0	101117	35056
84.2	23341ca4e4830bee	56992	2360746	8320	32224	31408	0	101105	35056
84.2	23341ca4e4830bee	56992	2360937	8320	32224	31408	0	101117	35056
84.2	23341ca4e4830bee	56992	2361128	8320	32224	31408	0	101107	35056
84.2	23341ca4e4830bee	56976	2361319	8320	32240	31376	0	101111	35280
84.2	23341ca4e4830bee	56976	2361561	8320	32240	31376	0	101117	35280
84.2	23341ca4e4830bee	56976	2361752	8320	32240	31376	0	101113	35280
84.2	23341ca4e4830bee	56976	2361944	8320	32240	31376	0	101117	35392
84.2	23341ca4e4830bee	56992	2362135	8320	32208	31376	0	101119	35392
84.2	23341ca4e4830bee	56992	2362316	8320	32208	31376	0	101113	35392
84.2	23341ca4e4830bee	56992	2362507	8320	32208	31376	0	101113	35392
84.2	23341ca4e4830bee	56992	2362698	8320	32208	31376	0	101095	35232
84.2	23341ca4e4830bee	56992	2362889	8320	32240	31392	0	101117	35232
84.2	23341ca4e4830bee	56992	2363080	8320	32240	31392	0	101103	35232
84.2	23341ca4e4830bee	56992	2363271	8320	32240	31392	0	101105	35232
84.2	23341ca4e4830bee	56976	2363462	8320	32224	31408	0	101113	34976
84.2	23341ca4e4830bee	56976	2363654	8320	32224	31408	0	101109	34976
84.2	23341ca4e4830bee	56976	2363845	8320	32224	31408	0	101109	34976
84.2	23341ca4e4830bee	56976	2364026	8320	32224	31408	0	101111	34976
84.2	23341ca4e4830bee	56992	2364217	8320	32240	31424	0	101109	35072
84.2	23341ca4e4830bee	56992	2364408	8320	32240	31424	0	101119	35072
84.2	23341ca4e4830bee	56992	2364599	8320	32240	31424	0	101123	35072
84.2	23341ca4e4830bee	56992	2364791	8320	32240	31424	0	101113	35072
84.2	23341ca4e4830bee	56992	2364982	8320	32256	31376	0	101101	34960
84.2	23341ca4e4830bee	56992	2365173	8320	32256	31376	0	101113	34960
84.2	23341ca4e4830bee	56992	2365405	8320	32256	31376	0	101111	34960
84.2	23341ca4e4830bee	56976	2365586	8320	32256	31376	0	101113	34992
84.2	23341ca4e4830bee	56976	2365777	8320	32224	31408	0	101113	34992
84.2	23341ca4e4830bee	56976	2365968	8320	32224	31408	0	101123	34992
84.2	23341ca4e4830bee	56976	2366159	8320	32224	31408	0	101113	34992
84.2	23341ca4e4830bee	56992	2366350	8320	32240	31392	0	101119	34896
84.2	23341ca4e4830bee	56992	2366541	8320	32240	31392	0	101115	34896
84.2	23341ca4e4830bee	56992	2366732	8320	32240	31392	0	101111	34896
84.2	23341ca4e4830bee	56992	2366923	8320	32240	31392	0	101107	34896
84.2	23341ca4e4830bee	56992	2367114	8320	32240	31408	0	101103	35296
84.2	23341ca4e4830bee	56992	2367306	8320	32240	31408	0	101107	35296
84.2	23341ca4e4830bee	56992	2367497	8320	32240	31408	0	101107	35296
84.2	23341ca4e4830bee	56992	2367688	8192	32240	31408	0	101119	35296
84.2	23341ca4e4830bee	56992	2367879	8192	32240	31408	0	101119	35072
84.2	23341ca4e4830bee	56992	2368070	8192	32240	31408	0	101117	35072
84.2	23341ca4e4830bee	56992	2368261	8192	32240	31408	0	101113	35072
84.2	23341ca4e4830bee	56992	2368453	8320	32240	31408	0	101105	35024
84.2	23341ca4e4830bee	56992	2368644	8320	32272	31376	0	101117	35024
84.2	23341ca4e4830bee	56992	2368835	8320	32272	31376	0	101117	35024
84.2	23341ca4e4830bee	56992	2369016	8320	32272	31376	0	101115	35024
84.2	23341ca4e4830bee	56992	2369263	8320	32288	31408	0	101121	35088
84.2	23341ca4e4830bee	56992	2369454	8320	32288	31408	0	101111	35088
84.2	23341ca4e4830bee	56992	2369645	8320	32288	31408	0	101109	35088
84.2	23341ca4e4830bee	56992	2369826	8320	32288	31408	0	101121	35088
84.2	23341ca4e4830bee	56992	2370017	8320	32288	31408	0	101113	35024
84.2	23341ca4e4830bee	56992	2370208	8320	32288	31408	0	101121	35024
84.2	23341ca4e4830bee	56992	2370419	8320	32288	31408	0	101121	35024
84.2	23341ca4e4830bee	56992	2370610	8320	32288	31408	0	101111	35024
84.2	23341ca4e4830bee	56992	2370801	8320	32240	31408	0	101111	35312
84.2	23341ca4e4830bee	56992	2370993	8320	32240	31408	0	101111	35312
84.2	23341ca4e4830bee	56992	2371184	8320	32240	31408	0	101109	35312
84.2	23341ca4e4830bee	56992	2371375	8320	32208	31408	0	101105	35376
84.2	23341ca4e4830bee	56992	2371571	8320	32208	31392	0	101115	35376
84.2	23341ca4e4830bee	56992	2371762	8320	32208	31392	0	101109	35376
84.2	23341ca4e4830bee	56992	2371953	8320	32208	31392	0	101115	35376
84.2	23341ca4e4830bee	56992	2372144	8320	32208	31408	0	101117	34960
84.2	23341ca4e4830bee	56992	2372335	8320	32208	31408	0	101113	34960
84.2	23341ca4e4830bee	56992	2372526	8320	32208	31408	0	101111	34960
84.2	23341ca4e4830bee	56992	2372718	8320	32208	31408	0	101111	34960
84.2	23341ca4e4830bee	56992	2372909	8320	32240	31408	0	101111	35248
84.2	23341ca4e4830bee	56992	2373155	8320	32240	31408	0	101109	35248
84.2	23341ca4e4830bee	56992	2373346	8320	32240	31408	0	101117	35248
84.2	23341ca4e4830bee	56992	2373533	8320	32240	31408	0	101115	35296
84.2	23341ca4e4830bee	56992	2373724	8320	32224	31408	0	101107	35296
84.2	23341ca4e4830bee	56992	2373915	8320	32224	31408	0	101115	35296
84.2	23341ca4e4830bee	56992	2374106	8320	32224	31408	0	101111	35296
84.2	23341ca4e4830bee	56992	2374287	8320	32240	31392	0	101115	35360
84.2	23341ca4e4830bee	56992	2374478	8320	32240	31392	0	101109	35360
84.2	23341ca4e4830bee	56992	2374670	8320	32240	31392	0	101115	35360
84.2	23341ca4e4830bee	56992	2374861	8320	32240	31392	0	101115	35360
84.2	23341ca4e4830bee	56992	2375052	8320	32224	31392	0	101107	35088
84.2	23341ca4e4830bee	56992	2375243	8320	32224	31392	0	101117	35088
84.2	23341ca4e4830bee	56992	2375434	8320	32224	31392	0	101119	35088
84.2	23341ca4e4830bee	56992	2375625	8320	32224	31392	0	101115	35088
84.2	23341ca4e4830bee	56992	2375816	8320	32224	31408	0	101115	34976
84.2	23341ca4e4830bee	56992	2375998	8320	32224	31408	0	101113	34976
84.2	23341ca4e4830bee	56992	2376189	8320	32224	31408	0	101115	34976
84.2	23341ca4e4830bee	56992	2376380	8320	32224	31408	0	101109	34976
84.2	23341ca4e4830bee	56992	2376582	8320	32224	31376	0	101115	35040
84.2	23341ca4e4830bee	56992	2376774	8320	32224	31376	0	101119	35040
84.2	23341ca4e4830bee	56992	2376996	8320	32224	31376	0	101109	35040
84.2	23341ca4e4830bee	56992	2377187	8320	32240	31424	0	101119	35248
84.2	23341ca4e4830bee	56992	2377368	8320	32240	31424	0	101109	35248
84.2	23341ca4e4830bee	56992	2377563	8320	32240	31424	0	101109	35248
84.2	23341ca4e4830bee	56992	2377754	8320	32240	31424	0	101107	35248
84.2	23341ca4e4830bee	56992	2377945	8320	32240	31392	0	101107	35264
84.2	23341ca4e4830bee	56992	2378137	8320	32240	31392	0	101107	35264
84.2	23341ca4e4830bee	56992	2378318	8320	32240	31392	0	101109	35264
84.2	23341ca4e4830bee	56992	2378509	8320	32240	31392	0	101115	35264
84.2	23341ca4e4830bee	56992	2378700	8320	32256	31408	0	101119	35104
84.2	23341ca4e4830bee	56992	2378891	8320	32256	31408	0	101115	35104
84.2	23341ca4e4830bee	56992	2379082	8320	32256	31408	0	101113	35104
84.2	23341ca4e4830bee	56992	2379273	8320	32256	31408	0	101113	35104
84.2	23341ca4e4830bee	56992	2379464	8320	32256	31392	0	101109	35200
84.2	23341ca4e4830bee	56992	2379656	8320	32256	31392	0	101113	35200
84.2	23341ca4e4830bee	56992	2379847	8320	32256	31392	0	101109	35200
84.2	23341ca4e4830bee	56992	2380028	8320	32256	31392	0	101113	35184
84.2	23341ca4e4830bee	56992	2380219	8320	32240	31392	0	101113	35184
84.2	23341ca4e4830bee	56992	2380411	8320	32240	31392	0	101109	35184
84.2	23341ca4e4830bee	56992	2380602	8320	32240	31392	0	101115	35184
